Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
844.546875,76,7621.153809,7461.153809,1158.205078,8133.717773,4892.692383,2881.923096,1503.974365,2189.743652,977.9487305,2897.307617,5252.05127,7925.128418,1642.435913,2704.615479,3798.718018,2208.076904,fleece,articulators
844.5546875,76,630.7692261,509.4871826,6187.820313,6958.333496,5418.846191,2806.281982,1417.307739,2043.717896,8189.102539,6311.922852,1606.153809,2337.94873,4773.461426,5120.641113,7549.743652,1861.025635,fleece,articulators
844.5625,76,4369.358887,4040.384521,6351.410156,4181.538574,6783.974121,3324.358887,2775.256348,4606.666504,7106.153809,7467.307617,1353.589722,2678.589844,2108.205078,95.51280975,8275.769531,3975.0,fleece,articulators
844.5703125,76,3988.205078,5623.205078,4517.692383,5011.538574,7647.692383,2075.256348,3161.538574,1237.564087,5123.205078,3791.666748,3782.05127,1812.94873,3831.025635,5022.94873,1961.666626,2667.692383,fleece,articulators
844.578125,76,8056.153809,43.84614563,241.4102478,4858.589844,698.2051392,1448.205078,8190.0,730.7692261,4922.563965,1111.410278,6471.025879,2948.974365,3406.794922,3669.615479,1234.102539,1166.666626,fleece,articulators
844.5859375,76,7559.102539,1313.846191,4879.102539,71.02563477,7876.282227,4215.512695,7676.794922,4202.94873,1206.794922,4266.025879,3687.564209,2677.307617,1763.717896,4611.922852,8347.692383,4188.589844,fleece,articulators
844.59375,76,3619.102539,5640.0,1121.282104,5027.307617,1164.359009,1962.179443,7861.538574,7919.358887,5459.102539,210.7692261,227.0512695,3362.564209,89.74358368,1329.74353,3024.615479,3375.897461,fleece,articulators
844.6015625,76,5281.794922,6899.743652,5705.128418,4703.717773,3225.512939,439.7435913,5112.05127,2593.589844,5612.94873,6243.846191,2734.871826,5906.410156,6860.897461,6767.820313,5771.410156,8168.974609,fleece,articulators
844.609375,76,7906.666504,216.6666565,3053.846191,4105.512695,3497.05127,2511.153809,7065.512695,7412.692383,4060.897461,5702.436035,3855.641113,7509.230957,7894.102539,6242.05127,7337.94873,1887.435913,fleece,articulators
844.6171875,76,2443.974365,7606.794922,5126.025879,6065.0,746.0256348,7715.256348,4450.512695,6679.102539,7669.358887,4064.230713,5622.692383,3550.128174,1550.384644,3069.615479,2738.461426,3646.538574,fleece,articulators
844.625,76,1697.435913,5941.282227,7374.487305,5003.077148,5361.538574,8398.845703,1704.102539,112.5640945,3459.743652,5159.102539,1607.564087,3176.410156,4387.94873,7232.563965,479.3589783,7794.102539,fleece,articulators
844.6328125,76,7542.307617,405.384613,1754.359009,927.5640869,2920.769287,7832.436035,6673.974121,6903.974121,4946.794922,252.6923065,5745.128418,5021.410156,1242.307739,1017.179504,6308.846191,537.5640869,fleece,articulators
844.640625,76,6727.436035,6259.871582,7878.077148,2858.974365,1754.615356,2830.0,5776.153809,5174.230957,1349.359009,4607.179688,458.2051086,5425.0,3654.743652,6349.743652,1095.897461,731.1538086,fleece,articulators
844.6484375,76,8039.230957,1234.230713,2400.769287,3430.128174,3086.025635,7194.230957,3385.128174,662.1795044,4979.743652,416.5384521,62.05127335,5675.769043,3714.358887,7394.358887,3861.410156,4456.922852,fleece,articulators
844.65625,76,3625.384521,6706.282227,6899.871582,3092.307617,4976.153809,462.0512695,4631.922852,1857.820557,603.7179565,4733.205078,295.2564087,7012.94873,3120.512939,5143.589844,1205.897461,7094.615234,fleece,articulators
844.6640625,76,6756.410156,7430.769043,7151.410156,6006.025879,515.6409912,3872.179443,2987.820557,6027.05127,6047.563965,6301.410156,7179.230957,4503.974121,872.9487305,777.1795044,5343.333496,1555.769165,fleece,articulators
844.671875,76,1426.410278,6286.794922,7109.487305,6204.743652,2519.102539,5012.820313,4535.256348,7174.615234,4039.358887,7749.743652,919.7435913,3026.410156,4543.717773,3320.384521,5528.205078,7937.179688,fleece,articulators
844.6796875,76,7973.589844,4105.128418,2301.538574,4406.922852,6024.230957,2758.076904,628.0769043,8355.769531,7582.05127,5289.871582,6655.512695,4314.871582,1018.717957,608.4615479,3731.666748,7326.153809,fleece,articulators
844.6875,76,4761.666504,7846.922852,7918.333496,8185.256348,5689.230957,4013.846191,8013.333496,5867.179688,7244.230957,2188.718018,8391.666992,627.9487305,5101.666504,788.4615479,84.35896301,415.384613,fleece,articulators
844.6953125,76,2496.923096,2232.692383,2326.025635,2581.281982,7141.410156,264.7435913,4627.05127,1226.538452,357.1794739,8203.205078,1908.974365,3054.487061,3525.897461,4246.666504,6364.358887,8143.205078,fleece,articulators
844.703125,76,568.4615479,5863.205078,1439.102539,4840.512695,4218.333496,6089.871582,3221.923096,4846.025879,3474.615479,4468.589844,3040.769287,7272.436035,4925.256348,4791.538574,3338.846191,1371.538452,fleece,articulators
844.7109375,76,6614.743652,578.2051392,2102.692383,4383.461426,6823.589844,5077.179688,7705.897461,5169.615234,4410.769043,4154.615234,1578.589722,1993.205078,7001.922852,60.64101791,1247.692261,2393.333252,fleece,articulators
844.71875,76,7793.077148,7158.333496,7064.743652,2990.769287,6377.05127,4795.0,4179.102539,5579.358887,357.5640869,3891.538574,3175.769287,251.9230652,4246.666504,7782.820313,6300.512695,6078.974121,fleece,articulators
844.7265625,76,772.3076782,2783.076904,3211.538574,3076.538574,887.1795044,284.615387,8382.435547,6166.282227,7258.077148,1007.692322,6932.94873,2079.743652,2743.974365,476.6666565,3004.871826,1481.025635,fleece,articulators
844.734375,76,1088.974365,6215.0,2788.205078,6432.94873,4643.077148,3419.358887,3693.974365,7641.794922,2018.333374,1290.128174,666.666687,4327.179688,1414.102539,3955.512939,5907.563965,5816.410156,fleece,articulators
844.7421875,76,1691.923096,7617.436035,5957.692383,3926.923096,1216.025635,4438.333496,4309.358887,6461.666504,4764.487305,6676.410156,4160.769043,2204.871826,6891.282227,3210.128174,6252.692383,1679.74353,fleece,articulators
844.75,76,3047.94873,8353.974609,356.9230652,7258.589844,4706.025879,4693.717773,5880.384766,957.5640869,8144.743652,3159.615479,3561.794922,8121.282227,6288.461426,6685.641113,6270.897461,6522.179688,fleece,articulators
844.7578125,76,206.0256348,907.3076782,8370.769531,4865.384766,758.5897217,2576.923096,695.0,3315.128174,6116.282227,7411.794922,1763.974365,7067.94873,1667.307739,5593.333496,2817.05127,365.1282043,fleece,articulators
844.765625,76,1279.359009,2682.435791,6559.487305,5719.615234,7864.487305,3847.820557,7067.179688,1721.794922,975.6409912,2509.871826,7262.820313,3820.897461,1942.820557,6567.307617,6485.769043,4497.820313,fleece,articulators
844.7734375,76,3195.897461,4383.846191,1958.205078,5863.461426,4330.256348,3461.538574,7847.436035,5681.794922,7578.974609,7482.436035,7007.692383,6542.820313,922.9487305,1586.538452,8180.384766,2493.974365,fleece,articulators
844.78125,76,3538.076904,2880.769287,5734.358887,6231.922852,4481.922852,6102.436035,8366.922852,6314.871582,2943.846191,7270.0,1476.923096,7751.025879,2153.974365,3894.102539,2886.025635,6732.563965,fleece,articulators
